screen_name,created_at,text
papayessir,11/7/17 16:32,"some of these young folks actually looking like their 60 yo mothers, sorry Jenny it aint that cute anymore"
ZurichNACareers,11/7/17 16:32,"Join the Zurich team See our latest #job opening here: https://t.co/q4CE5pHipB #veteransmatter #actuarial #JerseyCity, NJ #Hiring"
hardikp,11/7/17 16:32,This new automatic differentiation library is really cool  https://t.co/IB9WAsoD0J https://t.co/2vF0vfSoTp
winenshine,11/7/17 16:32,Wonderful to taste these fine benriachus and glendronach whiskies again last night over chats https://t.co/8XSAtGcCjI
giordandiaz,11/7/17 16:32,@thewadekeller Im pretty sure @WWE is going with #TheShield vs. #TheNewDay based on what happened in #RAW #BelieveThat
landsrauhl,11/7/17 16:32,honestly her team needs to find new pr or something. theyre not fooling anyone its pretty obvious at the point. l https://t.co/QWXe5YGK4M
TheTylt,11/7/17 16:32,@FifthHarmony @taylorswift13 RT to vote #TaylorEMAs if you think @taylorswift13 should win the @MTVEMA for Best U.S https://t.co/co3D8Dtndc
giordandiaz,11/7/17 16:32,@thewadekeller Im pretty sure @WWE is going with #TheShield vs. #TheNewDay based on what happened in #RAW #BelieveThat
insouciantsbica,11/7/17 16:32,Oh no buddy you okay https://t.co/ByN4vskXBO
ZurichNACareers,11/7/17 16:32,"Join the Zurich team See our latest #job opening here: https://t.co/q4CE5pHipB #veteransmatter #actuarial #JerseyCity, NJ #Hiring"
ironstowe,11/7/17 16:32,@ambermarian @CBSNews INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
luismbastardob,11/7/17 16:32,"Darker days, longer nights. @ Hoboken, New Jersey https://t.co/7i32b7zEQv"
waltfrasier,11/7/17 16:32,@netflix @mrmarkmillar NETFLIX as a distribution for more content than just TV/Movies Im down
MRNYCOM,11/7/17 16:32,#Scavenger #fragrance hunt with #MarcoSantini #street #art at @trudon1643 in #NYC #TrudonNYC #Trudon https://t.co/FiZWGHJKBY
OhLookItsKemp,11/7/17 16:32,Hello New York City 
avaeats,11/7/17 16:32,@ChefDomonique  https://t.co/IMj2yK76Em
TimeforTruth16,11/7/17 16:32,"@smp0312 @NicoleRovito @ImTheAntiTrump @MaryBridgeman3 We Love our POTUS,, Thank God for him every day https://t.co/fJwcVhMi1M"
slicksean,11/7/17 16:32,So excited and inspired by this new enterprise https://t.co/3Rmygp0Rsl
impossibilly,11/7/17 16:32,@MichelFiffe I wont lie. I keep checking your Etsy store daily to see if youre selling these.
rprez2012,11/7/17 16:32,"Oh my. Hope lives for a live action Thrawn in the Star Wars movies, with Henry Cavill as the Grand Admiral. https://t.co/a1qwgh5lK9"
GerardoAngulo6,11/7/17 16:32,@Justiciera75 @InfoVzlaNet ARMAR A LA RESISTENCIA O INTERVENIR MILITARMENTE. LA SEGUNDA OPCION ES LA MAS VIABLE.
ariannalynnnn,11/7/17 16:32,rip https://t.co/c8dN0IwVnM
DubbyGoodell,11/7/17 16:32,Ive never seen Middleton and Parker on court at the same time. #SamePerson https://t.co/eLlDJjGZKR
Rosalu411,11/7/17 16:32,@politico If he was assaulted in his own backyard the neighbor is in trouble. Wishing Sen Paul a prompt recovery. God bless you
KingSilverHair,11/7/17 16:32,Thinking bout you is so timeless
Carolisa,11/7/17 16:32,@SRuhle cocktail time  ...for this dizzying craziness
delaneymcw,11/7/17 16:32,Importance of Having a Brand Guide  https://t.co/CJg2nmb3Hb
Jweiszy_MTSM,11/7/17 16:32,@Marvel is in 3017
ECIDfitb,11/7/17 16:32,Ive been working on a project with a dear friend of mine for like 2/3 years now. On Friday that project will be getting mastered.
BenMcCool,11/7/17 16:32,"@ryanwriter Though no doubt spectacular, they surely cant be any more impressive than the Ultimate Warriors fin https://t.co/p00qDg4gPN"
tmj_NYC_adm,11/7/17 16:32,"Were #hiring Click to apply: IT Operations Associate Manager Multiple Positions  https://t.co/ON7JDGQQLw #IT #NewYork, NY #Job #Jobs"
ironstowe,11/7/17 16:32,@NBCNews INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
marc_almond,11/7/17 16:32,i mean compare this w de blasio sneaking out back of brooklyn public library to avoid a smattering of protestors https://t.co/DY9ISHkhgD
ErnestLamonica,11/7/17 16:32,@MikelJollett @bravenak Religion. Poisons. Everything.
Tom_Tascarella,11/7/17 16:32,"Just bombed my Calc test Even Mr. Perez would fail it, its so hard. I would be surprised if I got passed a 32 "
MGICareersOT,11/7/17 16:32,"Interested in a #job in #NewYork, NY This could be a great fit: https://t.co/KmqmsPDQYE #FieldTech #CNC #Hiring"
Xolileee_,11/7/17 16:32,Nasty c really got a shark as a pet
DishWithDina,11/7/17 16:32,"What to do What to do  I had lots of #leftovers and its #lunchtime, so I got a little https://t.co/ZNhyIJTxMZ"
romualdeugene13,11/7/17 16:32,@KDaDDy22 @PGBON @DyzierMHLA @PGSmitty But she used the 100$ she stole from him lol
k8sanz,11/7/17 16:32,"Man, you gotta let people LIVE and let the petty shit go"
jakeyb1988,11/7/17 16:32,#911memorial #911 #newyork #nyc  @ 9/11 Memorial https://t.co/GXJVoa30tb
